Date,Price,Open,High,Low,Vol.,Change %
2015-03-09,600.15,597.05,601.04,597.05,,0.53%
2015-03-06,596.97,604.4,604.4,596,,-1.24%
2015-03-05,604.46,604.17,605.87,603.37,,0.13%
2015-03-04,603.7,607.25,607.25,601.69,,-0.61%
2015-03-03,607.43,608.38,608.38,603.29,,-0.24%
2015-03-02,608.91,601.86,609.13,601.86,,1.20%
2015-02-27,601.7,603.03,603.69,601.29,,-0.13%
2015-02-26,602.46,604.7,604.8,601.17,,-0.38%
2015-02-25,604.78,599.69,606.32,599.69,,0.79%
2015-02-24,600.04,597.46,600.81,597.46,,0.39%
2015-02-23,597.7,597.9,599.22,595.66,,-0.06%
2015-02-20,598.06,593.62,598.06,590.31,,0.76%
2015-02-19,593.57,593.12,595.01,592.84,,0.30%
2015-02-18,591.78,592,592.61,590.04,,-0.11%
2015-02-17,592.46,593.32,593.32,589.89,,-0.17%
2015-02-13,593.49,590.38,593.58,590,,0.57%
